Marine Megafauna Group,Marine Megafauna Common Name,Marine Megafauna Species,Consumer Class,Consumer Group,Consumer Common Name,Consumer Species,Scavenging,Predation,Consuming Placenta,Consuming Excreta,Consuming Eggs,Interaction Type Unknown,Notes,Source 1 Type,Source 1 Interaction Type,Source 1 Title,Source 1 Authors,Source 1 Link,Source 2 Type,Source 2 Interaction Type,Source 2 Title,Source 2 Authors,Source 2 Link,Source 3 Type,Source 3 Interaction Type,Source 3 Title,Source 3 Authors,Source 3 Link,Source 4 Link,Source 5 Link
Cetaceans,Cuvier’s beaked whale,Ziphius cavirostris,Carnivore,Canid,Dingo,Canis lupus dingo,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Insects for breakfast and whales for dinner: the diet and body condition of dingoes on Fraser Island (K’gari),Behrendorff et al (2016),https://doi.org/10.1038/srep23469,,,,,,,,,,,,
Cetaceans,Fin whale,Balaenoptera physalus,Carnivore,Ursid,Polar bear,Ursus maritimus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Historical and potential future importance of large whales as food for polar bears,Laidre et al.,https://doi.org/10.1002/fee.1963,,,,,,,,,,,,
Cetaceans,Fin whale,Balaenoptera physalus,Carnivore,Canid,Coyote,Canis latrans,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,Peer-reviewed article,Unknown,The Distribution and Abundance of Coyotes: The Effects of Allochthonous Food Subsidies from the Sea,Rose et al (1998),https://doi.org/10.1890/0012-9658(1998)079[0998:TDAAOC]2.0.CO;2,,,,,,,,,,,,
Cetaceans,Gray whale,Eschrichtius robustus,Carnivore,Ursid,Polar bear,Ursus maritimus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Historical and potential future importance of large whales as food for polar bears,Laidre et al.,https://doi.org/10.1002/fee.1963,,,,,,,,,,,,
Cetaceans,Gray Whale,Eschrichtius robustus,Bird,Bird,California condor,Gymnogyps californianus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Terrestrial Scavenging of Marine Mammals: Cross-Ecosystem Contaminant Transfer and Potential Risks to Endangered California Condors (Gymnogyps californianus),Kurle et al (2016),https://doi.org/10.1021/acs.est.6b01990,Peer-reviewed article,Scavenging,Eggshell Thinning and Depressed Hatching Success of California Condors Reintroduced to Central California,Burnett et al,https://doi.org/10.1525/cond.2013.110150,,,,,,,
Cetaceans,Grey whale,Eschrichtius robustus,Carnivore,Canid,Gray wolf,Canis lupus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,The Ilnik wolf Canis lupus pack: use of marine mammals and offshore sea ice,Watts et al,https://doi.org/10.2981/09-040,Peer-reviewed article,Unknown,Recovery of a marine keystone predator transforms terrestrial predator–prey dynamics,Roffler et al,10.1073/pnas.2209037120,,,,,,,
Cetaceans,Harbor porpoise,Phocoena phocoena,Carnivore,Canid,Red fox,Vulpes vulpes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Loop-mediated isothermal amplification (LAMP) assay—A rapid detection tool for identifying red fox (Vulpes vulpes) DNA in the carcasses of harbour porpoises (Phocoena phocoena),Heers et al.,https://doi.org/10.1371/journal.pone.0184349,,,,,,,,,,,,
Cetaceans,Harbor porpoise,Phocoena phocoena,Carnivore,Canid,Gray wolf,Canis lupus,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,Peer-reviewed article,Unknown,Recovery of a marine keystone predator transforms terrestrial predator–prey dynamics,Roffler et al,https://doi.org/10.1073/pnas.2209037120,,,,,,,,,,,,
Cetaceans,Humpback whale,Megaptera novaeangliae,Carnivore,Ursid,Brown bear,Ursus arctos,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Brown bears and wolves scavenge humpback whale carcass in Alaska,Lewis et al (2014),http://doi.org/10.2192/URSUS-D-14-00004.1,,,,,,,,,,,,
Cetaceans,Humpback whale,Megaptera novaeangliae,Carnivore,Canid,Gray wolf,Canis lupus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Brown bears and wolves scavenge humpback whale carcass in Alaska,Lewis et al (2014),http://doi.org/10.2192/URSUS-D-14-00004.1,Peer-reviewed article,Scavenging,THE COMPOSITION AND INTERACTIONS OF SCAVENGERS ON A HUMPBACK WHALE CARCASS IN ALASKA,Young et al (2022),10.1898/1051-1733-103.1.51,,,,,,,
